亏	一	一	one; once; a (article) (Kangxi radical 1)	True	zh-一-0	zh	False	<span>yī</span>	False	one; once; a (article)	0
亏	丂	丂	"breath" or "sigh" component (in Chinese characters)	True	zh-丂-0	zh	False	<span>qiǎo</span>	False	"breath" or "sigh" component (in Chinese characters)	0
云	二	二	two (Kangxi radical 7)	True	zh-二-0	zh	False	<span>èr</span>	False	two	0
云	厶	厶	private (Kangxi radical 28); cocoon	True	zh-厶-0	zh	False	<span>sī</span>	False	private; cocoon	0
互	一	一	one; once; a (article) (Kangxi radical 1)	True	zh-一-0	zh	False	<span>yī</span>	False	one; once; a (article)	0
互	彑	彑	pig snout (Kangxi radical 58, variant)	True	zh-彑-0	zh	False	<span>jì</span>	False	pig snout	0
亘	二	二	two (Kangxi radical 7)	True	zh-二-0	zh	False	<span>èr</span>	False	two	0
亘	日	日	sun; day; date; time (Kangxi radical 72)	True	zh-日-0	zh	False	<span>rì</span>	False	sun; day; date; time	0
些	二	二	two (Kangxi radical 7)	True	zh-二-0	zh	False	<span>èr</span>	True	two	0
些	此	此	this; these	True	zh-此-0	zh	True	<span>cǐ</span>	False	this; these	0
亢	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	False	lid; head	0
亢	几	几	how many; several; a few;; almost (Kangxi radical 16); small table	True	zh-几-0	zh	False	<span>jǐ</span>, <span>jī</span>	False	how many; several; a few;; almost; small table	0
交	乂	乂	regulate; govern; control	True	zh-乂-0	zh	False	<span>yì</span>	False	regulate; govern; control	0
交	六	六	six	True	zh-六-0	zh	False	<span>liù</span>	False	six	0
亦	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	False	lid; head	0
产	丿	丿	slash (Kangxi radical 4)	True	zh-丿-0	zh	False	<span>piě</span>	False	slash	0
产	立	立	to stand; to set up (Kangxi radical 117)	True	zh-立-0	zh	False	<span>lì</span>	False	to stand; to set up	0
亨	了	了	(particle for a new situation or completed action);; finish; understand; clear;; observe	True	zh-了-0	zh	False	<span>le</span>, <span>liǎo</span>, <span>liào</span>	False	(particle for a new situation or completed action);; finish; understand; clear;; observe	0
亨	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	False	lid; head	0
亨	口	口	mouth (Kangxi radical 30)	True	zh-口-0	zh	False	<span>kǒu</span>	False	mouth	0
亩	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	False	lid; head	0
亩	田	田	field (Kangxi radical 102)	True	zh-田-0	zh	False	<span>tián</span>	False	field	0
享	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	False	lid; head	0
享	口	口	mouth (Kangxi radical 30)	True	zh-口-0	zh	False	<span>kǒu</span>	False	mouth	0
享	子	子	son; child; (1st Earthly Branch) (Kangxi radical 39); seed;; (noun suffix)	True	zh-子-0	zh	False	<span>zǐ</span>, <span>zi</span>	False	son; child;; seed;; (noun suffix)	0
京	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	False	lid; head	0
京	口	口	mouth (Kangxi radical 30)	True	zh-口-0	zh	False	<span>kǒu</span>	False	mouth	0
京	小	小	small; young (Kangxi radical 42)	True	zh-小-0	zh	False	<span>xiǎo</span>	False	small; young	0
亭	丁	丁	male adult; robust; cubes (of food); T-shaped (4th Heavenly Stem)	True	zh-丁-0	zh	True	<span>dīng</span>	False	male adult; robust; cubes (of food); T-shaped	0
亭	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	True	lid; head	0
亭	冖	冖	cover (Kangxi radical 14)	True	zh-冖-0	zh	False	<span>mì</span>	True	cover	0
亭	口	口	mouth (Kangxi radical 30)	True	zh-口-0	zh	False	<span>kǒu</span>	True	mouth	0
亮	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	False	lid; head	0
亮	冖	冖	cover (Kangxi radical 14)	True	zh-冖-0	zh	False	<span>mì</span>	False	cover	0
亮	几	几	how many; several; a few;; almost (Kangxi radical 16); small table	True	zh-几-0	zh	False	<span>jǐ</span>, <span>jī</span>	False	how many; several; a few;; almost; small table	0
亮	口	口	mouth (Kangxi radical 30)	True	zh-口-0	zh	False	<span>kǒu</span>	False	mouth	0
亲	木	木	tree; wood (Kangxi radical 75)	True	zh-木-0	zh	False	<span>mù</span>	False	tree; wood	0
亲	立	立	to stand; to set up (Kangxi radical 117)	True	zh-立-0	zh	False	<span>lì</span>	False	to stand; to set up	0
亵	亠	亠	lid; head (Kangxi radical 8)	True	zh-亠-0	zh	False	<span>tóu</span>	False	lid; head	0
亵	执	执	grasp; hold in hand; execute (a plan)	True	zh-执-0	zh	False	<span>zhí</span>	False	grasp; hold in hand; execute (a plan)	0
亿	乙	乙	two; twist (2nd Heavenly Stem) (Kangxi radical 5)	True	zh-乙-0	zh	False	<span>yǐ</span>	False	two; twist	0
亿	亻	亻	person; man; people (Kangxi radical 9, standing version)	True	zh-亻-0	zh	False	<span>rén</span>	False	person; man; people	0
什	亻	亻	person; man; people (Kangxi radical 9, standing version)	True	zh-亻-0	zh	False	<span>rén</span>	True	person; man; people	0
什	十	十	ten (Kangxi radical 24)	True	zh-十-0	zh	True	<span>shí</span>	False	ten	0
仁	二	二	two (Kangxi radical 7)	True	zh-二-0	zh	False	<span>èr</span>	False	two	0
仁	亻	亻	person; man; people (Kangxi radical 9, standing version)	True	zh-亻-0	zh	False	<span>rén</span>	False	person; man; people	0
仄	人	人	person; man; people (Kangxi radical 9)	True	zh-人-0	zh	False	<span>rén</span>	False	person; man; people	0
仄	厂	厂	cliff; factory (Kangxi radical 27)	True	zh-厂-0	zh	False	<span>chǎng</span>	False	cliff; factory	0
仅	亻	亻	person; man; people (Kangxi radical 9, standing version)	True	zh-亻-0	zh	False	<span>rén</span>	False	person; man; people	0
仅	又	又	(once) again; also; both (Kangxi radical 29)	True	zh-又-0	zh	False	<span>yòu</span>	False	(once) again; also; both	0
仆	亻	亻	person; man; people (Kangxi radical 9, standing version)	True	zh-亻-0	zh	False	<span>rén</span>	True	person; man; people	0
仆	卜	卜	divine; foretell; divination (Kangxi radical 25);; turnip; carrot	True	zh-卜-0	zh	True	<span>bǔ</span>, <span>bo</span>	False	divine; foretell; divination;; turnip; carrot	0
仇	九	九	nine	True	zh-九-0	zh	True	<span>jiǔ</span>	False	nine	0
仇	亻	亻	person; man; people (Kangxi radical 9, standing version)	True	zh-亻-0	zh	False	<span>rén</span>	True	person; man; people	0
介	人	人	person; man; people (Kangxi radical 9)	True	zh-人-0	zh	False	<span>rén</span>	False	person; man; people	0
仍	乃	乃	to be; thus; so; therefore	True	zh-乃-0	zh	True	<span>nǎi</span>	False	to be; thus; so; therefore	0
仍	亻	亻	person; man; people (Kangxi radical 9, standing version)	True	zh-亻-0	zh	False	<span>rén</span>	True	person; man; people	0
从	人	人	person; man; people (Kangxi radical 9)	True	zh-人-0	zh	False	<span>rén</span>	False	person; man; people	0
从	人	人	person; man; people (Kangxi radical 9)	True	zh-人-0	zh	False	<span>rén</span>	False	person; man; people	0
仓	⺋	⺋	seal; kneeling person (Kangxi radical 26, variant)	True	zh-⺋-0	zh	False	<span>jié</span>	False	seal; kneeling person	0
